"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
5;50;0,5;"t_test";1;0,9407;0,7928
5;50;0,5;"wilcoxon";1;0,9127;0,7928
5;50;0,5;"perverso";1;0,9325;0,7928
5;50;0,5;"t_test";4;0,61;0,7911
5;50;0,5;"wilcoxon";4;0,528;0,7911
5;50;0,5;"perverso";4;0,5876;0,7911
5;50;0,5;"t_test";16;0,2271;0,7909
5;50;0,5;"wilcoxon";16;0,2105;0,7909
5;50;0,5;"perverso";16;0,2241;0,7909
5;100;0;"t_test";1;0,051;0,7977
5;100;0;"wilcoxon";1;0,0501;0,7977
5;100;0;"perverso";1;0,0524;0,7977
5;100;0;"t_test";4;0,0507;0,7961
5;100;0;"wilcoxon";4;0,0585;0,7961
5;100;0;"perverso";4;0,0545;0,7961
5;100;0;"t_test";16;0,0502;0,7867
5;100;0;"wilcoxon";16;0,0785;0,7867
5;100;0;"perverso";16;0,0588;0,7867
5;100;0,2;"t_test";1;0,2953;0,793
5;100;0,2;"wilcoxon";1;0,2714;0,793
5;100;0,2;"perverso";1;0,2909;0,793
5;100;0,2;"t_test";4;0,1457;0,7878
5;100;0,2;"wilcoxon";4;0,1414;0,7878
5;100;0,2;"perverso";4;0,1471;0,7878
5;100;0,2;"t_test";16;0,0794;0,7922
5;100;0,2;"wilcoxon";16;0,0996;0,7922
5;100;0,2;"perverso";16;0,0871;0,7922
5;100;0,5;"t_test";1;0,9405;0,7856
5;100;0,5;"wilcoxon";1;0,9124;0,7856
5;100;0,5;"perverso";1;0,9331;0,7856
5;100;0,5;"t_test";4;0,5961;0,7881
5;100;0,5;"wilcoxon";4;0,5185;0,7881
5;100;0,5;"perverso";4;0,5766;0,7881
5;100;0,5;"t_test";16;0,226;0,7906
5;100;0,5;"wilcoxon";16;0,2095;0,7906
5;100;0,5;"perverso";16;0,2241;0,7906
